100000 100000
0 56936 73418
0 69226 77501
1 29447 79399
0 21373 55931
1 29721 49007
0 31912 35528
1 20176 23710
0 53907 66987
0 30346 31673
0 20482 44864
1 41800 58471
0 60802 78626
1 21656 38409
0 52447 57002
0 27473 79804
0 27787 34067
0 25719 77098
1 23899 54234
1 75482 79976
1 54447 77741
0 64213 65088
1 34433 62245
0 40077 73685
0 36471 46212
1 29598 77080
0 23443 53577
0 26514 44469
1 56396 63710
0 43454 76685
1 22991 44304
0 26936 44093
0 23623 78536
0 42790 78505
0 38431 65684
0 45956 65041
0 39495 42073
0 33201 44887
0 54290 55499
1 42816 65861
1 22071 39555
0 53348 62702
0 37161 71432
0 27207 63470
0 67813 69089
1 43260 70180
0 20441 37202
1 22108 23473
0 50017 56202
1 56912 71033
0 31105 63432
0 22299 57059
1 59966 77981
1 71007 74269
1 51386 71963
1 22463 43588
0 60094 63718
1 35565 66508
0 40789 76612
0 29983 43081
0 52853 72421
0 48842 50664
0 43926 47043
1 71307 71959
0 33283 49325
1 69701 79215
0 40714 53587
0 53593 54987
1 34281 37899
0 74462 74804
0 33592 36080
0 56110 70155
1 28713 50543
1 51258 65828
0 24217 52116
0 73886 78535
1 49260 64917
0 50710 76267
1 29488 67152
0 31222 58429
1 39400 61654
0 34876 46868
1 24053 41108
1 31084 59867
0 55807 62568
0 53723 54440
0 51641 59390
0 34210 74539
1 40345 76698
0 31147 48407
1 27231 39550
0 39569 56836
1 50993 62442
1 69559 71923
1 28397 40785
0 43017 55351
0 42037 66721
0 28704 72768
1 26723 34710
0 61817 78891
1 58267 65283
0 51098 77193
0 28059 71395
0 25181 56192
0 33006 60651
0 50866 78992
0 25213 46584
1 39132 53181
0 47261 60053
1 24524 38399
1 33778 74178
0 21168 71757
1 33970 45001
1 21601 65784
1 34376 74024
0 26046 33127
0 65356 73732
0 20795 37010
0 56704 77933
0 35577 49420
1 52828 56753
0 43638 62836
0 49727 56401
0 30166 42621
0 44261 46419
0 31079 45997
0 65535 71230
0 57932 79878
0 66610 70403
0 39754 61632
0 24468 44920
1 53723 72939
1 33843 62945
1 20924 29546
0 48792 72361
1 52875 58338
1 45141 79843
0 30062 56092
1 58888 71386
0 60117 75173
0 24233 28525
0 56727 78260
0 50156 66059
0 36308 67640
0 74531 74840
1 21850 22241
0 72095 74696
0 33785 71532
1 38105 70208
0 40676 72841
0 46295 55490
0 61977 76634
0 21039 36080
0 51054 62567
0 44047 76330
0 43440 53350
0 23832 61530
0 23338 46367
1 28713 55466
1 38065 55158
0 48022 77876
1 67265 79355
0 23958 39240
0 46199 47720
1 39192 79768
0 51132 67080
1 25773 35024
1 26638 44089
1 51430 58174
1 62720 79831
0 64169 73233
1 20654 74940
0 26546 56794
1 22972 24819
0 34444 46931
0 50722 57461
0 47280 62155
1 45446 62846
1 43654 68534
1 30380 52765
0 55251 71045
1 44216 73980
1 67923 79260
0 32641 34448
0 26588 57380
0 28923 52652
1 37792 59718
1 42699 45406
1 51117 68927
0 23502 51615
0 47739 53539
0 30040 72450
1 21039 47152
1 20226 57779
0 21715 77656
0 68217 79419
0 24728 55541
0 46466 77018
1 55345 61156
0 72333 77656
1 66932 68452
0 39241 40702
0 62267 77247
1 32788 42844
0 43664 60032
1 36099 52400
1 26363 74875
0 33512 65045
0 35470 38630
0 20998 47345
0 71806 74157
0 36495 65953
1 51090 58381
0 27779 76454
0 33178 74504
0 28077 71440
0 45474 74915
0 66881 67004
0 54676 56087
0 40438 72176
0 30382 58814
1 47624 56367
0 40756 69893
0 55931 79693
0 23016 70719
1 24843 32768
0 27697 47591
0 49963 60079
1 30065 48194
0 45180 72256
0 23513 43802
0 30200 73676
1 67284 76869
0 36377 69741
0 25397 78379
0 58379 70005
0 22627 57269
0 27353 56982
0 38582 75160
1 26098 60480
0 23404 26281
0 29566 60524
0 40819 58992
0 72214 78651
0 42751 62895
0 37053 57804
0 41913 63347
1 26503 54493
0 29652 56799
0 51246 57332
0 34431 62034
1 49753 76359
0 59902 76392
0 41726 58322
0 61550 63094
0 25350 65818
1 23412 41538
0 20410 67126
0 40988 63062
0 46039 68724
1 32072 36216
1 44869 65636
0 25128 34850
1 36287 48558
1 39095 65778
1 29050 51069
0 22427 68616
0 27441 38031
0 67695 68264
1 49580 67508
1 28950 62421
1 44183 45676
0 55347 61174
0 26420 76724
0 28694 42437
1 51900 79497
1 56077 68550
1 35875 37476
0 40106 69084
1 43675 48103
0 22661 35959
1 31351 36522
0 53513 57719
0 24440 25365
1 34001 54734
1 30673 73208
1 20216 38183
0 34131 64536
0 49513 78985
0 25518 75220
1 33215 47923
0 41821 66030
1 30622 65859
1 32201 50981
1 37902 40327
1 33644 43946
1 31302 54869
0 50572 58841
0 26506 54103
0 22357 25284
0 57939 62408
0 35438 65523
1 61618 73299
0 32765 78528
0 54013 60394
0 30571 76439
1 46356 79739
0 64797 65955
1 24774 66708
0 40108 58311
1 41091 77017
0 57761 70951
0 27358 58813
0 41161 74408
1 50178 79340
1 24521 78932
0 53252 74577
0 45086 64699
1 39526 62135
0 22744 51342
1 23771 44220
0 35987 75438
0 39756 57574
0 42338 61057
0 38977 54892
0 39976 55244
0 28886 37631
0 44583 61064
1 51453 79452
0 75124 77202
1 37654 79506
0 21881 70263
0 21519 35635
0 21160 74840
1 32786 72637
0 41947 65996
0 33041 61708
0 47506 66637
1 70720 72263
0 58452 60986
0 63535 63902
1 38474 74959
0 33644 76453
0 61949 68986
1 36000 59679
1 25071 37958
0 60558 73369
0 31804 57337
0 43285 73852
1 47646 54051
0 39711 79371
1 37567 46334
1 61725 71683
1 55312 56470
0 51646 54160
0 59547 68468
0 64736 72758
1 21398 39915
0 31234 72543
0 41472 71884
0 50980 63258
0 47803 72439
0 44083 59861
1 57711 59429
0 33592 35953
1 36519 76039
0 31622 73822
1 25596 63575
0 40508 54069
0 39778 56154
0 56833 61527
0 67283 78032
0 52499 66588
0 37317 72748
1 20820 74574
0 69896 77457
0 66712 76571
0 29585 66333
0 23823 25901
1 25156 49567
0 63851 64539
1 43083 45677
0 46366 47348
0 35050 49382
1 42459 52647
0 26415 71119
0 42441 65484
0 42224 69746
0 43881 79214
1 56989 67291
0 35659 46843
0 63105 73226
1 27683 79962
0 21009 64999
0 52699 60306
0 39393 50155
1 32301 71344
1 32530 78432
0 47169 49862
1 28823 72380
0 27388 60903
0 48170 78639
0 68888 71375
0 27018 51488
0 26203 66621
0 27057 48083
0 28084 54100
1 48284 74416
1 72250 79228
0 62962 74553
1 44451 62065
1 52078 63223
0 39367 42451
0 23083 43400
1 23164 43174
0 44904 79497
0 30677 67259
0 56971 61275
1 42702 55383
0 22870 26619
0 45838 63873
0 48192 78953
0 33198 72449
0 44513 71342
0 29610 51950
0 51734 59307
1 35956 55247
0 31023 39565
1 37719 72692
0 22697 71518
0 34253 77314
0 24653 61678
0 41855 79644
0 62732 71602
0 44614 67297
0 25823 51741
0 39918 68583
0 44583 47847
0 26605 31665
1 62440 77957
1 33775 69268
1 20377 46021
0 39138 56214
0 62233 73788
1 27526 42272
0 52031 54930
1 63980 64273
1 21022 35934
1 45397 60735
0 55578 75571
1 25091 71308
0 40363 46324
0 28430 64634
1 60147 69332
1 26797 69696
0 62654 72988
0 36357 47610
0 39555 57131
0 50229 62718
1 45089 58072
1 24385 62403
0 30820 58434
0 33879 67282
0 48481 73042
1 30773 58370
0 62380 74382
0 21385 68450
1 31325 44557
0 57592 68977
1 70593 78209
1 33014 45201
0 22360 53558
0 30639 45635
0 47309 68442
1 58596 72269
0 55886 74791
0 44658 71818
0 52873 77151
0 31559 41380
1 33133 38995
1 54028 67757
1 31211 37812
0 20371 73363
0 45848 50294
0 32287 45163
0 33886 39594
0 46128 46319
1 45718 50968
0 21641 47217
0 23241 43966
0 50500 75321
1 49647 56728
0 29809 48615
0 43391 51324
0 31493 58652
1 24762 61216
1 31304 42905
1 44316 78399
1 55207 63917
1 22450 32049
0 29698 30960
1 29381 57171
0 40334 40767
0 38306 52292
1 38129 46337
1 22653 69788
1 40609 63088
0 63824 68765
0 20503 42816
1 40084 58398
0 35728 71177
0 24439 25590
0 27252 59577
1 22302 45265
0 26371 40724
1 29951 51176
0 33594 39606
0 37886 44826
1 61023 63913
1 51363 64998
0 56469 68822
0 41689 52205
1 56940 70858
0 32675 63572
0 61304 67844
0 33652 62079
1 61891 74788
0 22764 59003
1 29419 31166
0 20608 24555
0 51682 54538
1 31689 75925
