a0 a
b0 b
c0 c
a00 a0
a01 a0
b00 b0
b01 b0
c00 c0
a000 a00
a001 a00
a002 a00
a010 a01
a011 a01
b000 b00
b010 b01
c000 c00
c001 c00
a0000 a000
a0001 a000
a0002 a000
a0010 a001
a0011 a001
a0020 a002
a0021 a002
a0100 a010
a0110 a011
b0000 b000
b0001 b000
b0002 b000
b0100 b010
b0101 b010
c0000 c000
c0010 c001
c0011 c001
a00000 a0000
a00001 a0000
a00002 a0000
a00010 a0001
a00011 a0001
a00012 a0001
a00020 a0002
a00021 a0002
a00100 a0010
a00101 a0010
a00102 a0010
a00110 a0011
a00111 a0011
a00112 a0011
a00200 a0020
a00210 a0021
a01000 a0100
a01100 a0110
b00000 b0000
b00001 b0000
b00010 b0001
b00020 b0002
b01000 b0100
b01001 b0100
b01010 b0101
c00000 c0000
c00001 c0000
c00100 c0010
c00110 c0011
c00111 c0011
a000000 a00000
a000001 a00000
a000010 a00001
a000011 a00001
a000020 a00002
a000021 a00002
a000100 a00010
a000101 a00010
a000110 a00011
a000111 a00011
a000112 a00011
a000120 a00012
a000121 a00012
a000200 a00020
a000210 a00021
a000211 a00021
a001000 a00100
a001001 a00100
a001002 a00100
a001010 a00101
a001011 a00101
a001020 a00102
a001100 a00110
a001110 a00111
a001111 a00111
a001120 a00112
a001121 a00112
a001122 a00112
a002000 a00200
a002001 a00200
a002002 a00200
a002100 a00210
a002101 a00210
a010000 a01000
a011000 a01100
a011001 a01100
a011002 a01100
b000000 b00000
b000001 b00000
b000010 b00001
b000011 b00001
b000100 b00010
b000101 b00010
b000102 b00010
b000200 b00020
b000201 b00020
b000202 b00020
b010000 b01000
b010001 b01000
b010010 b01001
b010011 b01001
b010100 b01010
b010101 b01010
b010102 b01010
c000000 c00000
c000001 c00000
c000010 c00001
c001000 c00100
c001001 c00100
c001002 c00100
c001100 c00110
c001110 c00111
a0000000 a000000
a0000010 a000001
a0000011 a000001
a0000100 a000010
a0000101 a000010
a0000102 a000010
a0000110 a000011
a0000111 a000011
a0000112 a000011
a0000200 a000020
a0000210 a000021
a0000211 a000021
a0001000 a000100
a0001001 a000100
a0001010 a000101
a0001011 a000101
a0001100 a000110
a0001101 a000110
a0001102 a000110
a0001110 a000111
a0001120 a000112
a0001121 a000112
a0001122 a000112
a0001200 a000120
a0001210 a000121
a0001211 a000121
a0002000 a000200
a0002001 a000200
a0002100 a000210
a0002101 a000210
a0002102 a000210
a0002110 a000211
a0002111 a000211
a0010000 a001000
a0010010 a001001
a0010020 a001002
a0010100 a001010
a0010101 a001010
a0010110 a001011
a0010111 a001011
a0010200 a001020
a0011000 a001100
a0011100 a001110
a0011110 a001111
a0011111 a001111
a0011200 a001120
a0011210 a001121
a0011211 a001121
a0011220 a001122
a0011221 a001122
a0011222 a001122
a0020000 a002000
a0020010 a002001
a0020011 a002001
a0020020 a002002
a0020021 a002002
a0020022 a002002
a0021000 a002100
a0021010 a002101
a0100000 a010000
a0100001 a010000
a0110000 a011000
a0110010 a011001
a0110011 a011001
a0110020 a011002
b0000000 b000000
b0000001 b000000
b0000010 b000001
b0000011 b000001
b0000012 b000001
b0000100 b000010
b0000110 b000011
b0000111 b000011
b0000112 b000011
b0001000 b000100
b0001001 b000100
b0001002 b000100
b0001010 b000101
b0001020 b000102
b0002000 b000200
b0002001 b000200
b0002010 b000201
b0002020 b000202
b0002021 b000202
b0100000 b010000
b0100001 b010000
b0100010 b010001
b0100100 b010010
b0100101 b010010
b0100110 b010011
b0101000 b010100
b0101001 b010100
b0101002 b010100
b0101010 b010101
b0101011 b010101
b0101012 b010101
b0101020 b010102
b0101021 b010102
c0000000 c000000
c0000001 c000000
c0000002 c000000
c0000010 c000001
c0000011 c000001
c0000100 c000010
